nom;y_lat;Timestamp;RowKey;x_long;PartitionKey;cle;entityid;geometrie;elu;geo_point_2d
Saint Augustin - Tauzin - Alphonse Dupeux;44.8292466638757;2019-07-09T13:49:11.7993908Z;0388b510-6bba-45ec-8881-65c6836bd1ad;-0.598047983131342;aa0dfcd8-77e8-4238-aa45-a8efa895759a;4;aa0dfcd8-77e8-4238-aa45-a8efa895759a;"{""type"": ""Polygon"", ""coordinates"": [[[-0.6068419800836521, 44.8369839357764], [-0.6084429906038841, 44.8368032833058], [-0.608956294319931, 44.8366342263508], [-0.609470257426435, 44.8359179847657], [-0.610320204876311, 44.834246025157], [-0.6106548445907011, 44.834307203724], [-0.611152594180955, 44.8334379666229], [-0.611380513670813, 44.833228588159], [-0.6124828389864571, 44.8327223768147], [-0.6128973910322191, 44.8324530204152], [-0.6132491775258581, 44.8321538561653], [-0.6135961320893271, 44.8317050364705], [-0.613733429835152, 44.8313407955545], [-0.613927771411912, 44.829748625476], [-0.613598491345392, 44.8289530219935], [-0.6129893115595391, 44.8279026333812], [-0.612659907315872, 44.8266564375516], [-0.613762039672562, 44.8264964936905], [-0.6137016850453171, 44.8264262542092], [-0.6140684559264531, 44.8253756791301], [-0.614965732763038, 44.8253102405598], [-0.6150363632068231, 44.82307051635], [-0.6149589377227791, 44.8230025315502], [-0.61403405603746, 44.8231923517563], [-0.6131712433883051, 44.8231064313213], [-0.613211084006641, 44.8226254748205], [-0.613150866232802, 44.8225109100471], [-0.6118977928038251, 44.8228847245407], [-0.6104960689954021, 44.8225832074864], [-0.610379686960353, 44.822382232733], [-0.610181348180858, 44.8222570056905], [-0.609664186471374, 44.8223785412982], [-0.6093894967494381, 44.8222387096497], [-0.6085286359763741, 44.8213507770508], [-0.607839689444025, 44.8215587372244], [-0.606674240038222, 44.821773512007], [-0.605042334635682, 44.8196650550323], [-0.6042362647369091, 44.8199287726273], [-0.603894880945347, 44.8199728277057], [-0.6029909253136041, 44.8183268272075], [-0.602141298922104, 44.8186204658491], [-0.601198733060564, 44.8188102922863], [-0.6005621536180751, 44.8188636813248], [-0.599514221186318, 44.8187364957508], [-0.5992493712184951, 44.8187656841529], [-0.5984436482102441, 44.8192439250898], [-0.5973855771380451, 44.8197005024366], [-0.595580689403169, 44.8206228869442], [-0.5938993520122311, 44.821899594014], [-0.5929331815712591, 44.8232468362491], [-0.589363262350279, 44.8252524009963], [-0.5892083442459071, 44.8254619535378], [-0.588210596329321, 44.8260689545204], [-0.5865423752166781, 44.8272706309085], [-0.582380503265017, 44.8292362446807], [-0.5803596122411411, 44.8303008321568], [-0.579467753908611, 44.8306711087304], [-0.5784413327558671, 44.8309519253508], [-0.5781346471850141, 44.8308792352972], [-0.576880028449969, 44.830903996208804], [-0.57707098809397, 44.8309926686229], [-0.577149408148218, 44.8311404585441], [-0.577204337928329, 44.8324860731352], [-0.5759611996788511, 44.8337264641732], [-0.57516300176051, 44.8349831294414], [-0.580182712083894, 44.8345641727644], [-0.5808179080962661, 44.8364757068104], [-0.5886017108525831, 44.8342335939604], [-0.5888307117647621, 44.834578861244196], [-0.589268440396421, 44.8359355564919], [-0.590038035002535, 44.837162423893], [-0.590141542925919, 44.8371818591463], [-0.5907019715610371, 44.8381804784898], [-0.591989633942501, 44.8379277015891], [-0.594197566645222, 44.837179405904], [-0.59529352313119, 44.8368963418734], [-0.59797235019665, 44.8365394521954], [-0.598713422978233, 44.8365302529067], [-0.599016306762014, 44.8366667875464], [-0.600312486138006, 44.836656686354], [-0.6011479562749841, 44.836596020626104], [-0.602124049018771, 44.8363424458336], [-0.602679247071998, 44.8362661373504], [-0.6034453190409761, 44.8362842213707], [-0.605301570889867, 44.8365408974049], [-0.6066655372031381, 44.8369846633509], [-0.6068419800836521, 44.8369839357764]]]}";Jean-Louis DAVID;44.8292434915,-0.598052471204
Bordeaux Maritime;44.8864449171522;2019-07-09T13:49:12.025321Z;4ae7ab7e-72d7-4612-8bd4-8ab8552b8903;-0.558245341166085;6cced57e-74b8-4df4-837a-57520e8a12dc;1;6cced57e-74b8-4df4-837a-57520e8a12dc;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5758021961187411, 44.8660338638321], [-0.561371439370384, 44.8537906430225], [-0.557609659198802, 44.8557288686682], [-0.5484004598668, 44.8598161010596], [-0.5430660835474981, 44.8639695791722], [-0.541377764454473, 44.868265087388], [-0.54143036438669, 44.8683253356171], [-0.540777448914674, 44.872026258412], [-0.540419597124696, 44.8729886159578], [-0.539403191339896, 44.8751372396831], [-0.536901112634202, 44.8790072804653], [-0.53653554947694, 44.8799716625756], [-0.5359762680937851, 44.8822771091911], [-0.535641772036777, 44.8848021204585], [-0.535536703022754, 44.8893445172608], [-0.535741373561014, 44.8908549924216], [-0.5361585916366081, 44.8921286295119], [-0.536747662311866, 44.8932908179154], [-0.538406457254867, 44.897734664768], [-0.539399805976137, 44.9012504620638], [-0.5418423147353361, 44.9061321119905], [-0.547425696614342, 44.9161931448397], [-0.550456996192018, 44.9152330904809], [-0.5505305380369181, 44.9148491359791], [-0.5506755040420861, 44.9145728519856], [-0.550890779059659, 44.9143553602564], [-0.551414794618244, 44.9141120326867], [-0.5517391138315361, 44.9140715685659], [-0.5520588841285841, 44.9141340251459], [-0.553175368371691, 44.9148793014551], [-0.554059289338045, 44.9150341477196], [-0.55543588711321, 44.9145391016104], [-0.555939050066119, 44.9141945240234], [-0.5564227558519981, 44.9139762113871], [-0.557468196357218, 44.9137273906234], [-0.558274672402831, 44.9137267130752], [-0.5586744504575121, 44.9137852117658], [-0.5597977895897941, 44.9141072001239], [-0.5603131874225621, 44.914077587194], [-0.5608280178799291, 44.9138032445259], [-0.5613967003961841, 44.9129530514863], [-0.562024466280307, 44.912717600637], [-0.563273338013912, 44.9128497070874], [-0.5651613239754031, 44.9126902174004], [-0.5661726787525371, 44.9129702468689], [-0.566660500313083, 44.9130072258212], [-0.567508032328442, 44.9129654725788], [-0.56878558386717, 44.9130323045402], [-0.5696231583235061, 44.9129914779419], [-0.570368036888465, 44.9128685142788], [-0.5710460369924311, 44.9126668399783], [-0.569686252652968, 44.9104796125362], [-0.569850498412177, 44.9103032257029], [-0.5700196130480071, 44.9102441499534], [-0.570565959036894, 44.91020316065], [-0.570708892913187, 44.9098141315015], [-0.57102324261723, 44.9096197072298], [-0.571438790247078, 44.9095444385608], [-0.5720634807578311, 44.9096302507798], [-0.5724708013743961, 44.9094000287055], [-0.572898032628369, 44.909443563916], [-0.5731962827583941, 44.9093574637303], [-0.5738550118784921, 44.9093524792092], [-0.574066036493255, 44.909074359675], [-0.57434694671326, 44.9089907819997], [-0.5751183547620781, 44.9091182761368], [-0.5761024563935541, 44.9091883752089], [-0.576298374975663, 44.9092343826976], [-0.576424515485166, 44.9093712186937], [-0.576775698375121, 44.9092945274212], [-0.577304989650104, 44.9092934057081], [-0.577395155719848, 44.9090493405978], [-0.577317766095733, 44.9087546862252], [-0.57741073147456, 44.9083211848807], [-0.577564924706085, 44.9079774625321], [-0.5778788946125191, 44.9078936485447], [-0.579797071093862, 44.9079555501912], [-0.579943993678774, 44.9080392128325], [-0.5799442519283611, 44.9081778381322], [-0.579538418973166, 44.9088246621789], [-0.57996164159376, 44.908964682681], [-0.58052766057559, 44.9087695302734], [-0.5758021961187411, 44.8660338638321]]]}";Pierre De Gaétan NJIKAM MOULIOM;44.8864495332,-0.558246635759
Caudéran;44.8514820323518;2019-07-09T13:49:11.9364887Z;6f0a8880-83f7-4b42-8f9f-05702e9f1dc0;-0.617545141549855;11b182d1-8cb4-4235-9d7e-d37624acff76;8;11b182d1-8cb4-4235-9d7e-d37624acff76;"{""type"": ""Polygon"", ""coordinates"": [[[-0.594110551742806, 44.853193450174], [-0.5976595699261921, 44.8540699889784], [-0.5989854908405731, 44.8544910977625], [-0.601035986989728, 44.8555202071927], [-0.601989310826586, 44.8561995324395], [-0.60287716774722, 44.8567126491592], [-0.603722513785325, 44.8573557422251], [-0.607909691341963, 44.8595915602951], [-0.608841583158193, 44.8599891039508], [-0.609376367186045, 44.8601231285668], [-0.61080618559001, 44.8602966895464], [-0.6118524141125931, 44.8605416770615], [-0.6132460257455911, 44.8607192392619], [-0.613847687591079, 44.8608832803334], [-0.6142248975431991, 44.8610511108375], [-0.616698141701566, 44.8625591942438], [-0.620245741146162, 44.8640566734868], [-0.621080752645068, 44.8646553843161], [-0.6237161773941611, 44.8668028004431], [-0.630949907230225, 44.8716777268906], [-0.632972001524289, 44.8665513595409], [-0.6340776885545051, 44.8653303968491], [-0.6327507786477641, 44.8650144795336], [-0.632096681831385, 44.8647798711048], [-0.6312666804903551, 44.8642203538407], [-0.631442139208505, 44.863853163331], [-0.63334599344437, 44.8619147246894], [-0.634724184748374, 44.862404028084796], [-0.6351379879381871, 44.8618380642546], [-0.636569804348004, 44.8604965764208], [-0.638319387819781, 44.8607196663315], [-0.638673249524027, 44.8599995786267], [-0.6382702925683951, 44.8599345344707], [-0.638703720966449, 44.8591628080136], [-0.6378654264195871, 44.8588627747647], [-0.6379121565645121, 44.8587884938932], [-0.6375715733293721, 44.8586480361862], [-0.6372909877865861, 44.8586794319869], [-0.6370071006267081, 44.8585783294438], [-0.63850881454994, 44.8569218088451], [-0.6374863897102451, 44.8566035163004], [-0.6381063327594161, 44.8564509224305], [-0.636957346950027, 44.8561499123532], [-0.6373838560956151, 44.8551745518305], [-0.63714277445287, 44.8551654090762], [-0.636768271492083, 44.8552696196354], [-0.6360547314647641, 44.8550528804641], [-0.6364542895134051, 44.8537508401379], [-0.6370700784152491, 44.8537755783067], [-0.63720165147059, 44.8530273730189], [-0.6371459625544771, 44.8519409410263], [-0.636137332926478, 44.851729307935], [-0.634656105908556, 44.8515540171301], [-0.6334311334210461, 44.8516726682571], [-0.6334166931403521, 44.8517268189773], [-0.63211648621774, 44.8514437426858], [-0.632852850550481, 44.8496962256369], [-0.63355159537957, 44.8483246506781], [-0.6327598895176441, 44.8480013879379], [-0.6331140988113, 44.8473371567528], [-0.632977225472649, 44.8472329748613], [-0.633079702219521, 44.8470929570734], [-0.6329719071509631, 44.846988027202], [-0.633547876498136, 44.8463023925233], [-0.631982445436979, 44.8461810171393], [-0.631888211688144, 44.8460742122688], [-0.631587801505007, 44.8460272252683], [-0.630430418701115, 44.8455207640321], [-0.6307601565933411, 44.8449723575066], [-0.631115997889216, 44.8439904458734], [-0.629316807271188, 44.8436366013325], [-0.6285603539336391, 44.8410673092288], [-0.6285381924845871, 44.8406048968942], [-0.628220421249931, 44.8402737018136], [-0.6278847686676251, 44.8402697183804], [-0.627623273834889, 44.8395854926864], [-0.626954818658598, 44.8389972037812], [-0.62697865192808, 44.8389433851133], [-0.6263913740210281, 44.8388278759444], [-0.6222702535218251, 44.8385490616029], [-0.6192500339209001, 44.8386528983929], [-0.615657216836733, 44.8384935192434], [-0.6137228623576291, 44.8383358772033], [-0.612313639766733, 44.8383772833927], [-0.610297506358611, 44.8381973165387], [-0.60976764096854, 44.8381224205376], [-0.6089225374418651, 44.8378779848635], [-0.6068419800836521, 44.8369839357764], [-0.6066655372031381, 44.8369846633509], [-0.60592378785248, 44.8367141399042], [-0.605050948518515, 44.8364952380149], [-0.6034453190409761, 44.8362842213707], [-0.602679247071998, 44.8362661373504], [-0.602124049018771, 44.8363424458336], [-0.6011479562749841, 44.836596020626104], [-0.599016306762014, 44.8366667875464], [-0.599570854040386, 44.8425517817437], [-0.599523464134269, 44.8435036452288], [-0.5976345650989281, 44.8482724856509], [-0.5943607379469611, 44.8526933449707], [-0.594030871020192, 44.8531707430587], [-0.594110551742806, 44.853193450174]]]}";Pierre LOTHAIRE;44.8514794461,-0.617541642384
Bordeaux Sud;44.825360831176;2019-07-09T13:49:11.8823972Z;d9a5209d-1ed6-4602-a6bd-4f152d70783c;-0.558417873789451;9f8930a6-e4fc-4753-8d5f-bafdd8c56611;6;9f8930a6-e4fc-4753-8d5f-bafdd8c56611;"{""type"": ""Polygon"", ""coordinates"": [[[-0.558740436306667, 44.8354944530313], [-0.563092017279555, 44.8386549557392], [-0.566259850154156, 44.8368388907925], [-0.566381528370129, 44.8366775270833], [-0.5663631025428131, 44.8364637131481], [-0.567331871304606, 44.8360099715786], [-0.5677996843637171, 44.8358549607866], [-0.570181818406577, 44.8352872423776], [-0.571256939169512, 44.8351326200714], [-0.5733185897523291, 44.8350241237752], [-0.5743556233028421, 44.8351148768141], [-0.57516300176051, 44.8349831294414], [-0.5759611996788511, 44.8337264641732], [-0.577204337928329, 44.8324860731352], [-0.577209689834633, 44.8317648065954], [-0.577149408148218, 44.8311404585441], [-0.57707098809397, 44.8309926686229], [-0.576796993198684, 44.8308164352136], [-0.576507040322461, 44.8287331479386], [-0.576368175116809, 44.8282293657539], [-0.575595533282116, 44.8272710446206], [-0.5674616128366811, 44.8268925487841], [-0.567164985901061, 44.8257487272846], [-0.566086216941429, 44.8244180929434], [-0.5657255510179341, 44.8236726300308], [-0.565688260547995, 44.8218711972899], [-0.565781647617516, 44.8216437897861], [-0.5657296732601821, 44.8205419320159], [-0.566068910486356, 44.8193071044039], [-0.5661099640634211, 44.8175774412351], [-0.565808605460152, 44.816474572086], [-0.564900253874255, 44.8144031718056], [-0.5645168241589641, 44.813171714651], [-0.564390569827799, 44.8131928760867], [-0.564417132279862, 44.8132786112164], [-0.5586772895952621, 44.812333483166], [-0.558109688330874, 44.8123001628278], [-0.55727104118781, 44.8124004373752], [-0.556471959705597, 44.8126887271434], [-0.5376031188432681, 44.8228170005496], [-0.545216196435112, 44.8282385600694], [-0.552138638006204, 44.8317359391389], [-0.5573922889507961, 44.8345226632828], [-0.558740436306667, 44.8354944530313]]]}";Emilie KUZIEW;44.8253657947,-0.558422870713
Nansouty - Saint Genès;44.8216016266404;2019-07-09T13:49:11.8822203Z;3117161e-d538-4a4c-a2fb-ddf05b374d43;-0.574883031255185;cd279845-99f6-43dc-b933-7d9dd99b7b58;5;cd279845-99f6-43dc-b933-7d9dd99b7b58;"{""type"": ""Polygon"", ""coordinates"": [[[-0.57835122474417, 44.8309298965982], [-0.5784413327558671, 44.8309519253508], [-0.579467753908611, 44.8306711087304], [-0.5803596122411411, 44.8303008321568], [-0.582380503265017, 44.8292362446807], [-0.5865423752166781, 44.8272706309085], [-0.588210596329321, 44.8260689545204], [-0.5892083442459071, 44.8254619535378], [-0.589363262350279, 44.8252524009963], [-0.575746588964687, 44.816568364916], [-0.5748484790535541, 44.8153045578151], [-0.5746989859336921, 44.8149898280276], [-0.574126609714216, 44.8129127978194], [-0.5739566943323571, 44.8127012211635], [-0.5736246954895321, 44.8127533588847], [-0.5739613484259061, 44.8113374280489], [-0.5739987966902741, 44.8108107185697], [-0.5739077280013091, 44.8107828622042], [-0.5735742500609731, 44.8109885446987], [-0.572967888143838, 44.81109956491], [-0.572304876102514, 44.811158222213], [-0.571991286269193, 44.8111050131349], [-0.571609050707357, 44.8111979079213], [-0.5712605013963941, 44.8111748005549], [-0.5698711846256, 44.8117209706709], [-0.5673697029689411, 44.8125570245423], [-0.5672182794136591, 44.8123698110809], [-0.566596596013003, 44.8125076705941], [-0.566492072823595, 44.8124648263744], [-0.566004323543655, 44.8126464062626], [-0.565440118068231, 44.8125331142854], [-0.565160790359446, 44.8126164556516], [-0.564912122227714, 44.8129295318974], [-0.564562738712132, 44.8130976709883], [-0.5645279729963291, 44.8132087487446], [-0.564900253874255, 44.8144031718056], [-0.565808605460152, 44.816474572086], [-0.5661099640634211, 44.8175774412351], [-0.566068910486356, 44.8193071044039], [-0.5657296732601821, 44.8205419320159], [-0.565781647617516, 44.8216437897861], [-0.565688260547995, 44.8218711972899], [-0.5657255510179341, 44.8236726300308], [-0.566086216941429, 44.8244180929434], [-0.567164985901061, 44.8257487272846], [-0.5674616128366811, 44.8268925487841], [-0.575595533282116, 44.8272710446206], [-0.576368175116809, 44.8282293657539], [-0.576507040322461, 44.8287331479386], [-0.576796993198684, 44.8308164352136], [-0.576880028449969, 44.830903996208804], [-0.5781346471850141, 44.8308792352972], [-0.57835122474417, 44.8309298965982]]]}";Fabien ROBERT;44.8216040585,-0.574881202132
Chartrons - Grand Parc - Jardin Public;44.8552670002822;2019-07-09T13:49:11.8811199Z;37b6d199-9ab2-45cb-ac9d-da8ccabe6f60;-0.577613713295651;a155c268-783a-44c6-9b23-3d96d4ea303b;2;a155c268-783a-44c6-9b23-3d96d4ea303b;"{""type"": ""Polygon"", ""coordinates"": [[[-0.593600933664546, 44.853885330928], [-0.5936404178744821, 44.8538321074296], [-0.5905689505020151, 44.8518185100117], [-0.5854487103814591, 44.8497853421522], [-0.583120264583145, 44.8487238195981], [-0.578330594480255, 44.8452886418832], [-0.5783931418644781, 44.8451356998909], [-0.57831853503836, 44.8449660810107], [-0.577891521017437, 44.8447859211007], [-0.5777551182842711, 44.844805792812], [-0.577525972893263, 44.8449674841296], [-0.5774975011727981, 44.8450697199975], [-0.576065458548577, 44.845154087155], [-0.576088466586811, 44.8455614302102], [-0.575865573669712, 44.8459198380384], [-0.575426035309023, 44.8461825389986], [-0.574870698616318, 44.8463096103332], [-0.575015501303492, 44.8471105640886], [-0.571185447436606, 44.8474740123091], [-0.567403825297078, 44.8477532086593], [-0.5670367310229141, 44.8490005248257], [-0.565400983068374, 44.8510757846552], [-0.561371439370384, 44.8537906430225], [-0.5758021961187411, 44.8660338638321], [-0.58700778628624, 44.861619914385], [-0.5880854938445661, 44.8610258304316], [-0.5888483101451111, 44.8603036577287], [-0.593600933664546, 44.853885330928]]]}";Anne-Marie CAZALET;44.8552608217,-0.577613029998
Centre ville;44.8423508575359;2019-07-09T13:49:11.6562899Z;1cd3be04-4505-4db3-8e56-3ae2196ab551;-0.583333775786871;62a44bb5-3887-49cd-bf80-3c71c6eb9f9d;3;62a44bb5-3887-49cd-bf80-3c71c6eb9f9d;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5821633459890271, 44.8361116844684], [-0.5808179080962661, 44.8364757068104], [-0.580182712083894, 44.8345641727644], [-0.57516300176051, 44.8349831294414], [-0.5743556233028421, 44.8351148768141], [-0.5733185897523291, 44.8350241237752], [-0.571256939169512, 44.8351326200714], [-0.570004813848869, 44.8353257647707], [-0.567331871304606, 44.8360099715786], [-0.5663631025428131, 44.8364637131481], [-0.566381528370129, 44.8366775270833], [-0.566259850154156, 44.8368388907925], [-0.563092017279555, 44.8386549557392], [-0.5661265349344351, 44.8411239576221], [-0.567157259782721, 44.8438840584257], [-0.56778093483345, 44.8464490962969], [-0.567403825297078, 44.8477532086593], [-0.571185447436606, 44.8474740123091], [-0.575015501303492, 44.8471105640886], [-0.574870698616318, 44.8463096103332], [-0.575426035309023, 44.8461825389986], [-0.575865573669712, 44.8459198380384], [-0.576088466586811, 44.8455614302102], [-0.576065458548577, 44.845154087155], [-0.5774975011727981, 44.8450697199975], [-0.577525972893263, 44.8449674841296], [-0.5777551182842711, 44.844805792812], [-0.5779297327437191, 44.8447875124207], [-0.5783424823574921, 44.8449948746735], [-0.5783929427338671, 44.845150839742], [-0.578330594480255, 44.8452886418832], [-0.583120264583145, 44.8487238195981], [-0.5854487103814591, 44.8497853421522], [-0.5905689505020151, 44.8518185100117], [-0.5936404178744821, 44.8538321074296], [-0.594110551742806, 44.853193450174], [-0.594030871020192, 44.8531707430587], [-0.5943607379469611, 44.8526933449707], [-0.5976345650989281, 44.8482724856509], [-0.599523464134269, 44.8435036452288], [-0.599570854040386, 44.8425517817437], [-0.599016306762014, 44.8366667875464], [-0.598713422978233, 44.8365302529067], [-0.59797235019665, 44.8365394521954], [-0.59529352313119, 44.8368963418734], [-0.594197566645222, 44.837179405904], [-0.591989633942501, 44.8379277015891], [-0.5907019715610371, 44.8381804784898], [-0.590141542925919, 44.8371818591463], [-0.590038035002535, 44.837162423893], [-0.589268440396421, 44.8359355564919], [-0.5888307117647621, 44.834578861244196], [-0.5886017108525831, 44.8342335939604], [-0.5821633459890271, 44.8361116844684]]]}";Laurence DESSERTINE;44.8423491532,-0.583332278009
Bastide;44.8459408634657;2019-07-09T13:49:11.8789381Z;f87ec41f-a8e4-4197-8525-29fe2fec010f;-0.549845420658734;f1faae7e-a52a-4ef9-8aad-cabb3c175e06;7;f1faae7e-a52a-4ef9-8aad-cabb3c175e06;"{""type"": ""Polygon"", ""coordinates"": [[[-0.534910934100089, 44.8242813161226], [-0.5346550608947941, 44.8244205103731], [-0.5366466404146181, 44.8261789414249], [-0.533684340742553, 44.827842404095], [-0.537935940983692, 44.8303618587107], [-0.541011079735433, 44.832036083912], [-0.548063385568495, 44.8357150581203], [-0.538948385932364, 44.8449874994049], [-0.5385447404732241, 44.845472152674], [-0.537977924944513, 44.8463761491314], [-0.53748419279289, 44.8477199779435], [-0.5373591745255171, 44.8486802303913], [-0.5374288364891481, 44.8498166621794], [-0.5388304844820431, 44.8543427973848], [-0.5390178636427051, 44.8552942403927], [-0.5390460298388321, 44.8569500949095], [-0.5385831669358561, 44.8602135347812], [-0.5369776662179331, 44.8665085768691], [-0.5368902046798321, 44.8684316794348], [-0.54143036438669, 44.8683253356171], [-0.541377764454473, 44.868265087388], [-0.5430660835474981, 44.8639695791722], [-0.5484004598668, 44.8598161010596], [-0.5576158014675551, 44.8557257941671], [-0.561648566792118, 44.8536479338541], [-0.565400983068374, 44.8510757846552], [-0.5670367310229141, 44.8490005248257], [-0.56778093483345, 44.8464490962969], [-0.567157259782721, 44.8438840584257], [-0.5661265349344351, 44.8411239576221], [-0.5628213545580081, 44.838436247047], [-0.5573922889507961, 44.8345226632828], [-0.5520338090754591, 44.831680299209], [-0.545216196435112, 44.8282385600694], [-0.5376031188432681, 44.8228170005496], [-0.534910934100089, 44.8242813161226]]]}";Jérôme SIRI;44.8459393256,-0.54984897386
