Entité;Localisation de la station;Coordonnées;Paramètres mesurés;Source;Unité de mesure;Mesure;Dernière mise à jour;Commune;EPCI;Département;Région
Puy-de-Dôme;France - Puy-de-Dôme - FR07004;45.797264,3.1138303;PM2.5;EEA France;µg/m³;1.4;2020-04-28T19:00:00+02:00;Clermont-Ferrand;Clermont Auvergne Métropole;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
Martinique;France - Martinique - FR39010;14.613785,-61.06352;NO2;EEA France;µg/m³;35.3;2020-04-28T19:00:00+02:00;Fort-de-France;CA du Centre de la Martinique;MARTINIQUE;MARTINIQUE
French Guiana;France - French Guiana - FR40007;4.848161,-52.32381;NO2;EEA France;µg/m³;2.7;2020-04-28T19:00:00+02:00;Matoury;CA du Centre Littoral;GUYANE;GUYANE
French Guiana;France - French Guiana - FR40008;4.9378443,-52.32094;PM10;EEA France;µg/m³;16.9;2020-04-28T19:00:00+02:00;Cayenne;CA du Centre Littoral;GUYANE;GUYANE
AIR PACA;France - AIR PACA - GARDANNE;43.45346,5.467102;PM2.5;EEA France;µg/m³;7.75;2017-07-18T22:00:00+02:00;Gardanne;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
AIR PACA;France - AIR PACA - HYERES;43.119705,6.131801;O3;EEA France;µg/m³;114.5;2017-07-18T22:00:00+02:00;Hyères;Métropole Toulon-Provence-Méditerranée;VAR;PROVENCE-ALPES-COTE D'AZUR
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Jardin Lecoq;45.772144,3.0875006;NO2;EEA France;µg/m³;6.33;2017-07-18T22:00:00+02:00;Clermont-Ferrand;Clermont Auvergne Métropole;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
ATMO GRAND EST;France - ATMO GRAND EST - Jean d Aulan;49.224144,4.0205536;NO2;EEA France;µg/m³;5.55;2017-05-25T12:00:00+02:00;Reims;CU du Grand Reims;MARNE;GRAND EST
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - LIMOGES - Aine;45.83333,1.216804;NO2;EEA France;µg/m³;48.13;2017-07-18T22:00:00+02:00;Limoges;CU Limoges Métropole;HAUTE-VIENNE;NOUVELLE-AQUITAINE
AIR C.O.M. (CALVADOS, ORNE, MANCHE);France - AIR C.O.M. (CALVADOS, ORNE, MANCHE) - La Coulonche MERA;48.645008,-0.45833305;PM10;EEA France;µg/m³;14.2;2017-05-25T10:00:00+02:00;La Coulonche;CA Flers Agglo;ORNE;NORMANDIE
ATMOSF'AIR BOURGOGNE;France - ATMOSF'AIR BOURGOGNE - Le Creusot Molette;46.802216,4.4175014;O3;EEA France;µg/m³;100.55;2017-05-25T12:00:00+02:00;Le Creusot;CU Le Creusot Montceau-les-Mines;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE
Mayenne;France - Mayenne - FR23177;47.787712,-0.44404444;PM2.5;EEA France;µg/m³;4.1;2020-04-28T20:00:00+02:00;Saint-Denis-d'Anjou;CC du Pays de Château-Gontier;MAYENNE;PAYS DE LA LOIRE
Pas-de-Calais;France - Pas-de-Calais - FR28022;50.308872,2.80737;NO2;EEA France;µg/m³;21.7;2020-04-28T11:00:00+02:00;Saint-Laurent-Blangy;CU d'Arras;PAS-DE-CALAIS;HAUTS-DE-FRANCE
Meuse;France - Meuse - FR30033;49.065838,5.785555;SO2;EEA France;µg/m³;0.9;2020-04-28T19:00:00+02:00;Jonville-en-Woëvre;CC Côtes de Meuse Woëvre;MEUSE;GRAND EST
Saône-et-Loire;France - Saône-et-Loire - FR32006;46.3161,4.839997;PM10;EEA France;µg/m³;4.3;2020-04-28T17:00:00+02:00;Mâcon;CA Mâconnais Beaujolais Agglomération;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE
Savoie;France - Savoie - FR33121;45.675,6.3897257;PM2.5;EEA France;µg/m³;2.2;2020-04-28T19:00:00+02:00;Albertville;CA Arlysère;SAVOIE;AUVERGNE-RHONE-ALPES
Hérault;France - Hérault - FR08030;43.609962,3.8986075;PM10;EEA France;µg/m³;5.7;2020-04-28T17:00:00+02:00;Montpellier;Montpellier Méditerranée Métropole;HERAULT;OCCITANIE
Gers;France - Gers - FR12020;43.630253,0.17972234;NO2;EEA France;µg/m³;0.2;2020-04-28T19:00:00+02:00;Peyrusse-Vieille;CC Artagnan de Fezensac;GERS;OCCITANIE
Haute-Garonne;France - Haute-Garonne - FR12021;43.62362,1.438607;PM2.5;EEA France;µg/m³;5.0;2020-01-30T12:00:00+01:00;Toulouse;Toulouse Métropole;HAUTE-GARONNE;OCCITANIE
Haute-Garonne;France - Haute-Garonne - FR12054;43.64306,1.4676496;PM10;EEA France;µg/m³;5.7;2020-04-28T19:00:00+02:00;Toulouse;Toulouse Métropole;HAUTE-GARONNE;OCCITANIE
