Entité;Localisation de la station;Coordonnées;Paramètres mesurés;Source;Unité de mesure;Mesure;Dernière mise à jour;Commune;EPCI;Département;Région
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - ANNEMASSE;46.19585,6.2405605;PM10;EEA France;µg/m³;14.0;2017-05-25T12:00:00+02:00;Annemasse;CA Annemasse-les Voirons-Agglomération;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - CHAMBERY LE HAUT;45.596676,5.918613;PM10;EEA France;µg/m³;9.5;2017-05-25T12:00:00+02:00;Chambéry;CA du Grand Chambéry;SAVOIE;AUVERGNE-RHONE-ALPES
AIR PACA;France - AIR PACA - Chateauneuf;43.386974,5.160282;SO2;EEA France;µg/m³;5.75;2017-03-28T18:00:00+02:00;Châteauneuf-les-Martigues;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
ATMO CHAMPAGNE-ARDENNE;France - ATMO CHAMPAGNE-ARDENNE - DOUMER;49.250713,4.0230603;PM10;EEA France;µg/m³;19.98;2017-04-13T18:00:00+02:00;Reims;CU du Grand Reims;MARNE;GRAND EST
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - Ecole Jules Ferry;46.329563,-0.4588891;PM2.5;EEA France;µg/m³;9.5;2017-05-25T12:00:00+02:00;Niort;CA du Niortais;DEUX-SEVRES;NOUVELLE-AQUITAINE
Var;France - Var - FR03067;43.398724,6.0761056;PM10;EEA France;µg/m³;7.9;2020-04-28T19:00:00+02:00;Brignoles;CA de la Provence Verte;VAR;PROVENCE-ALPES-COTE D'AZUR
Var;France - Var - FR03071;43.131046,5.924237;O3;EEA France;µg/m³;856.5;2020-04-28T20:00:00+02:00;Toulon;Métropole Toulon-Provence-Méditerranée;VAR;PROVENCE-ALPES-COTE D'AZUR
Paris;France - Paris - FR04031;48.868866,2.3119402;PM10;EEA France;µg/m³;16.9;2020-04-28T19:00:00+02:00;Paris;Métropole du Grand Paris;PARIS;ILE-DE-FRANCE
Allier;France - Allier - FR07022;46.652645,3.6006632;O3;EEA France;µg/m³;82.4;2020-04-28T19:00:00+02:00;Paray-le-Frésil;CA Moulins Communauté;ALLIER;AUVERGNE-RHONE-ALPES
Hérault;France - Hérault - FR08023;43.40682,3.1888037;O3;EEA France;µg/m³;91.5;2020-04-28T19:00:00+02:00;Corneilhan;CA de Béziers-Méditerranée;HERAULT;OCCITANIE
Gard;France - Gard - FR08614;43.834393,4.3742204;PM10;EEA France;µg/m³;23.9;2020-04-28T17:00:00+02:00;Nîmes;CA de Nîmes Métropole;GARD;OCCITANIE
Haute-Garonne;France - Haute-Garonne - FR12054;43.64306,1.4676496;PM2.5;EEA France;µg/m³;1.3;2020-04-28T19:00:00+02:00;Toulouse;Toulouse Métropole;HAUTE-GARONNE;OCCITANIE
Marne;France - Marne - FR14004;49.25861,4.031111;NO2;EEA France;µg/m³;46.5;2018-03-28T10:00:00+02:00;Reims;CU du Grand Reims;MARNE;GRAND EST
Isère;France - Isère - FR15038;45.182827,5.7530985;PM10;EEA France;µg/m³;10.5;2020-03-09T15:00:00+01:00;Saint-Martin-d'Hères;Métropole Grenoble-Alpes-Métropole;ISERE;AUVERGNE-RHONE-ALPES
Isère;France - Isère - FR15043;45.16193,5.7355995;NO2;EEA France;µg/m³;5.7;2020-04-28T19:00:00+02:00;Grenoble;Métropole Grenoble-Alpes-Métropole;ISERE;AUVERGNE-RHONE-ALPES
Rhône;France - Rhône - FR20017;45.735287,4.829792;PM10;EEA France;µg/m³;0.5;2020-04-28T19:00:00+02:00;Lyon;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
Calvados;France - Calvados - FR21016;49.17525,-0.35361102;CO;EEA France;µg/m³;30.5;2017-12-31T19:00:00+01:00;Caen;CU Caen la Mer;CALVADOS;NORMANDIE
Calvados;France - Calvados - FR21021;49.14723,0.22722167;O3;EEA France;µg/m³;76.8;2020-04-28T20:00:00+02:00;Lisieux;CA Lisieux Normandie;CALVADOS;NORMANDIE
ATMO GRAND EST;France - ATMO GRAND EST - Rempart Perrier;49.046116,3.955911;PM10;EEA France;µg/m³;21.2;2017-05-27T11:00:00+02:00;Épernay;CA Épernay, Coteaux et Plaine de Champagne;MARNE;GRAND EST
AIR PAYS DE LOIRE;France - AIR PAYS DE LOIRE - SOURCES;47.97105,0.22142214;PM2.5;EEA France;µg/m³;11.03;2017-05-25T12:00:00+02:00;Le Mans;CU Le Mans Métropole;SARTHE;PAYS DE LA LOIRE
GWAD'AIR;France - GWAD'AIR - ST de Pointe O Pitre;16.238682,-61.5381;O3;EEA France;µg/m³;34.13;2017-07-18T00:00:00+02:00;Pointe-à-Pitre;CA Cap Excellence;GUADELOUPE;GUADELOUPE
ATMO GRAND EST;France - ATMO GRAND EST - STG Clemenceau;48.59043,7.744987;PM10;EEA France;µg/m³;27.3;2017-05-25T12:00:00+02:00;Strasbourg;Eurométropole de Strasbourg;BAS-RHIN;GRAND EST
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - Square Pablo Casals;45.647438,0.16716659;PM2.5;EEA France;µg/m³;9.75;2017-07-18T22:00:00+02:00;Angoulême;CA du Grand Angoulême;CHARENTE;NOUVELLE-AQUITAINE
ATMO NORD-PAS-DE-CALAIS;France - ATMO NORD-PAS-DE-CALAIS - St Omer Ribot;50.748238,2.259784;SO2;EEA France;µg/m³;3.95;2016-12-05T02:00:00+01:00;Saint-Omer;CA du Pays de Saint-Omer;PAS-DE-CALAIS;HAUTS-DE-FRANCE
ATMOSF'AIR BOURGOGNE;France - ATMOSF'AIR BOURGOGNE - Station PEJOCES;47.30804,5.066112;PM10;EEA France;µg/m³;14.68;2017-05-25T12:00:00+02:00;Dijon;Dijon Métropole;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE
ATMOSF'AIR BOURGOGNE;France - ATMOSF'AIR BOURGOGNE - Station TREMOUILLE;47.340252,5.0583324;PM10;EEA France;µg/m³;4.78;2017-07-17T20:00:00+02:00;Dijon;Dijon Métropole;COTE-D'OR;BOURGOGNE-FRANCHE-COMTE
AIR LORRAINE;France - AIR LORRAINE - Thionville-Centre;49.358315,6.156945;NO2;EEA France;µg/m³;10.65;2017-05-25T11:00:00+02:00;Thionville;CA Portes de France-Thionville;MOSELLE;GRAND EST
AIR RHONE ALPES;France - AIR RHONE ALPES - Valence Urb. Centre;44.93351,4.8934827;O3;EEA France;µg/m³;138.73;2017-07-17T20:00:00+02:00;Valence;CA Valence Romans Agglo;DROME;AUVERGNE-RHONE-ALPES
AIR RHONE ALPES;France - AIR RHONE ALPES - Vienne Centre;45.52598,4.8754086;PM10;EEA France;µg/m³;53.75;2016-12-05T02:00:00+01:00;Vienne;CA Vienne Condrieu;ISERE;AUVERGNE-RHONE-ALPES
Doubs;France - Doubs - FR82005;47.234592,6.076474;O3;EEA France;µg/m³;62.8;2020-04-28T19:00:00+02:00;Montfaucon;CA du Grand Besançon;DOUBS;BOURGOGNE-FRANCHE-COMTE
Territoire de Belfort;France - Territoire de Belfort - FR82020;47.64066,6.859275;NO2;EEA France;µg/m³;8.5;2020-04-28T19:00:00+02:00;Belfort;CA Grand Belfort;TERRITOIRE DE BELFORT;BOURGOGNE-FRANCHE-COMTE
AIR LORRAINE;France - AIR LORRAINE - Fléville;48.6215,6.194926;NO2;EEA France;µg/m³;30.83;2016-12-05T18:00:00+01:00;Fléville-devant-Nancy;Métropole du Grand Nancy;MEURTHE-ET-MOSELLE;GRAND EST
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - GERLAND;45.735287,4.829792;O3;EEA France;µg/m³;119.45;2017-07-17T20:00:00+02:00;Lyon;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
LIMAIR;France - LIMAIR - GUERET - Nicolas;46.169975,1.869996;PM10;EEA France;µg/m³;12.4;2017-07-18T22:00:00+02:00;Guéret;CA du Grand Guéret;CREUSE;NOUVELLE-AQUITAINE
ATMO GRAND EST;France - ATMO GRAND EST - HAYANGE-MARSPICH;49.33742,6.0820704;PM10;EEA France;µg/m³;5.7;2017-05-25T12:00:00+02:00;Hayange;CA du Val de Fensch;MOSELLE;GRAND EST
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - LABASTIDE CEZERACQ;43.376137,-0.53694373;PM10;EEA France;µg/m³;13.0;2017-05-25T12:00:00+02:00;Labastide-Cézéracq;CC de Lacq-Orthez;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
ORAMIP;France - ORAMIP - LOURDES PARADIS;43.09498,-0.051944003;NO2;EEA France;µg/m³;53.85;2017-07-17T20:00:00+02:00;Lourdes;CA Tarbes-Lourdes-Pyrénées;HAUTES-PYRENEES;OCCITANIE
Meurthe-et-Moselle;France - Meurthe-et-Moselle - FR30037;48.656937,6.1360235;NO2;EEA France;µg/m³;2.6;2020-04-28T19:00:00+02:00;Villers-lès-Nancy;Métropole du Grand Nancy;MEURTHE-ET-MOSELLE;GRAND EST
Pyrénées-Atlantiques;France - Pyrénées-Atlantiques - FR31017;43.49414,-1.5277737;NO2;EEA France;µg/m³;5.7;2020-04-28T19:00:00+02:00;Anglet;CA du Pays Basque;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
Pyrénées-Atlantiques;France - Pyrénées-Atlantiques - FR31021;43.37611,-0.536944;PM10;EEA France;µg/m³;2.3;2020-04-28T18:00:00+02:00;Labastide-Cézéracq;CC de Lacq-Orthez;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
Lot-et-Garonne;France - Lot-et-Garonne - FR31032;44.192238,0.62388897;NO2;EEA France;µg/m³;23.2;2018-12-27T08:00:00+01:00;Agen;CA d'Agen;LOT-ET-GARONNE;NOUVELLE-AQUITAINE
Haute-Savoie;France - Haute-Savoie - FR33212;46.193672,6.2148595;PM2.5;EEA France;µg/m³;3.6;2020-04-28T19:00:00+02:00;Gaillard;CA Annemasse-les Voirons-Agglomération;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
AIRPARIF;France - AIRPARIF - MANTES-LA-JOLIE;48.996395,1.7032956;O3;EEA France;µg/m³;131.0;2017-07-18T22:00:00+02:00;Mantes-la-Jolie;CU Grand Paris Seine et Oise;YVELINES;ILE-DE-FRANCE
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - MONT DE MARSAN;43.896053,-0.49061668;NO2;EEA France;µg/m³;6.75;2017-07-18T22:00:00+02:00;Mont-de-Marsan;CA Mont-de-Marsan Agglomération;LANDES;NOUVELLE-AQUITAINE
AIR NORMAND;France - AIR NORMAND - Maison Parc Brotonne;49.498302,0.758833;SO2;EEA France;µg/m³;0.53;2017-07-18T22:00:00+02:00;Notre-Dame-de-Bliquetuit;CA Caux Seine Agglo;SEINE-MARITIME;NORMANDIE
AIR RHONE ALPES;France - AIR RHONE ALPES - NOVEL;45.916946,6.135556;O3;EEA France;µg/m³;95.33;2017-05-25T12:00:00+02:00;Annecy;CA du Grand Annecy;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO POITOU-CHARENTES;France - ATMO POITOU-CHARENTES - Niort Trafic 6;46.321747,-0.4659723;NO2;EEA France;µg/m³;28.78;2017-05-25T12:00:00+02:00;Niort;CA du Niortais;DEUX-SEVRES;NOUVELLE-AQUITAINE
ATMO GRAND EST;France - ATMO GRAND EST - Nord-Est Alsace;48.91936,8.158455;SO2;EEA France;µg/m³;6.25;2017-05-25T12:00:00+02:00;Munchhausen;CC de la Plaine du Rhin;BAS-RHIN;GRAND EST
AIR PACA;France - AIR PACA - PEILLON;43.786617,7.373282;PM10;EEA France;µg/m³;27.5;2017-03-28T18:00:00+02:00;Peillon;CC du Pays des Paillons;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR
AIR PACA;France - AIR PACA - Port de Bouc Leque;43.40225,4.9822183;SO2;EEA France;µg/m³;1.75;2017-03-28T18:00:00+02:00;Port-de-Bouc;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
AIRPARIF;France - AIRPARIF - SAINT-DENIS;48.937244,2.361671;NO2;EEA France;µg/m³;29.0;2017-07-18T21:00:00+02:00;Saint-Denis;Métropole du Grand Paris;SEINE-SAINT-DENIS;ILE-DE-FRANCE
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - Square Pablo Casals;45.647438,0.16716659;PM10;EEA France;µg/m³;21.25;2017-07-18T22:00:00+02:00;Angoulême;CA du Grand Angoulême;CHARENTE;NOUVELLE-AQUITAINE
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - Square Pablo Casals;45.647438,0.16716659;O3;EEA France;µg/m³;73.08;2017-05-25T12:00:00+02:00;Angoulême;CA du Grand Angoulême;CHARENTE;NOUVELLE-AQUITAINE
AIR RHONE ALPES;France - AIR RHONE ALPES - St Germain/Rhône;46.07222,5.8208313;O3;EEA France;µg/m³;18.75;2016-12-05T02:00:00+01:00;Saint-Germain-sur-Rhône;CC Usses et Rhône;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
AIR RHONE ALPES;France - AIR RHONE ALPES - St Germain/RhOne;46.07222,5.8208313;PM2.5;EEA France;µg/m³;5.73;2017-07-17T20:00:00+02:00;Saint-Germain-sur-Rhône;CC Usses et Rhône;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO NORD-PAS-DE-CALAIS;France - ATMO NORD-PAS-DE-CALAIS - St Omer Ribot;50.748238,2.259784;NO2;EEA France;µg/m³;7.8;2017-05-25T12:00:00+02:00;Saint-Omer;CA du Pays de Saint-Omer;PAS-DE-CALAIS;HAUTS-DE-FRANCE
AIR LORRAINE;France - AIR LORRAINE - St-Julien-lOs-Metz;49.131126,6.207224;PM10;EEA France;µg/m³;19.0;2017-03-28T14:00:00+02:00;Saint-Julien-lès-Metz;Metz Métropole;MOSELLE;GRAND EST
AIR LORRAINE;France - AIR LORRAINE - St-Julien-lOs-Metz;49.131126,6.207224;NO2;EEA France;µg/m³;16.78;2017-03-28T14:00:00+02:00;Saint-Julien-lès-Metz;Metz Métropole;MOSELLE;GRAND EST
ATMO NORD-PAS-DE-CALAIS;France - ATMO NORD-PAS-DE-CALAIS - St-Laurent-Blangy;50.308872,2.80737;SO2;EEA France;µg/m³;0.9;2017-04-26T16:00:00+02:00;Saint-Laurent-Blangy;CU d'Arras;PAS-DE-CALAIS;HAUTS-DE-FRANCE
ATMO BOURGOGNE-FRANCHE-COMTE;France - ATMO BOURGOGNE-FRANCHE-COMTE - Station AUXERRE;47.800568,3.5763907;PM10;EEA France;µg/m³;17.3;2017-07-17T20:00:00+02:00;Auxerre;CA de l'Auxerrois;YONNE;BOURGOGNE-FRANCHE-COMTE
AIR LORRAINE;France - AIR LORRAINE - Thionville-Centre;49.358315,6.156945;PM2.5;EEA France;µg/m³;15.15;2017-05-25T11:00:00+02:00;Thionville;CA Portes de France-Thionville;MOSELLE;GRAND EST
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - VAULX EN VELIN;45.77891,4.9246993;PM2.5;EEA France;µg/m³;5.25;2017-05-25T12:00:00+02:00;Vaulx-en-Velin;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
AIR PAYS DE LOIRE;France - AIR PAYS DE LOIRE - VICTOR HUGO;47.20439,-1.5528278;CO;EEA France;µg/m³;222.5;2017-07-18T22:00:00+02:00;Nantes;Nantes Métropole;LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
AIR RHONE ALPES;France - AIR RHONE ALPES - DrOme Rurale Sud-SND;44.56943,5.278968;PM10;EEA France;µg/m³;13.0;2017-05-25T12:00:00+02:00;Saint-Nazaire-le-Désert;CC du Diois;DROME;AUVERGNE-RHONE-ALPES
Bouches-du-Rhône;France - Bouches-du-Rhône - FR03032;43.29479,5.571738;O3;EEA France;µg/m³;83.1;2020-04-28T20:00:00+02:00;Aubagne;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
Hauts-de-Seine;France - Hauts-de-Seine - FR04150;48.891376,2.24056;NO2;EEA France;µg/m³;7.0;2020-04-28T20:00:00+02:00;Puteaux;Métropole du Grand Paris;HAUTS-DE-SEINE;ILE-DE-FRANCE
Paris;France - Paris - FR04329;48.838604,2.412785;NO2;EEA France;µg/m³;15.9;2020-04-28T20:00:00+02:00;Paris;Métropole du Grand Paris;PARIS;ILE-DE-FRANCE
Nord;France - Nord - FR06006;50.36426,3.5227344;PM10;EEA France;µg/m³;8.9;2020-04-28T19:00:00+02:00;Valenciennes;CA Valenciennes Métropole;NORD;HAUTS-DE-FRANCE
AIR C.O.M. (CALVADOS, ORNE, MANCHE);France - AIR C.O.M. (CALVADOS, ORNE, MANCHE) - AlenOon MOtOo-France;48.44554,0.11083324;O3;EEA France;µg/m³;67.5;2017-05-25T12:00:00+02:00;Cerisé;CU d'Alençon;ORNE;NORMANDIE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - BOSSONS;45.907196,6.845836;PM10;EEA France;µg/m³;11.25;2017-05-25T12:00:00+02:00;Chamonix-Mont-Blanc;CC de la Vallée de Chamonix-Mont-Blanc;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - BOSSONS;45.907196,6.845836;NO2;EEA France;µg/m³;32.68;2017-07-17T20:00:00+02:00;Chamonix-Mont-Blanc;CC de la Vallée de Chamonix-Mont-Blanc;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO GRAND EST;France - ATMO GRAND EST - Bourgogne;49.34913,4.069593;PM10;EEA France;µg/m³;46.43;2017-07-18T22:00:00+02:00;Bourgogne-Fresne;CU du Grand Reims;MARNE;GRAND EST
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - COGNAC;45.694706,-0.32336116;SO2;EEA France;µg/m³;0.8;2017-07-18T22:00:00+02:00;Cognac;CA du Grand Cognac;CHARENTE;NOUVELLE-AQUITAINE
Ille-et-Vilaine;France - Ille-et-Vilaine - FR19017;48.089695,-1.6590266;PM2.5;EEA France;µg/m³;4.7;2020-04-28T20:00:00+02:00;Rennes;Rennes Métropole;ILLE-ET-VILAINE;BRETAGNE
Rhône;France - Rhône - FR20029;45.6639,4.8459;PM10;EEA France;µg/m³;6.4;2020-04-28T19:00:00+02:00;Feyzin;Métropole de LYON;RHONE;AUVERGNE-RHONE-ALPES
Schoelcher;France - Schoelcher - FR39008;14.616392,-61.1008;PM10;EEA France;µg/m³;6.8;2020-04-28T19:00:00+02:00;Schœlcher;CA du Centre de la Martinique;MARTINIQUE;MARTINIQUE
ATMO PICARDIE;France - ATMO PICARDIE - Faiencerie Creil;49.259567,2.4744005;PM10;EEA France;µg/m³;22.48;2017-05-25T12:00:00+02:00;Creil;CA Creil Sud Oise;OISE;HAUTS-DE-FRANCE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Gresivaudan Periurb;45.279682,5.8822045;O3;EEA France;µg/m³;94.15;2017-05-25T12:00:00+02:00;Crolles;CC Le Grésivaudan;ISERE;AUVERGNE-RHONE-ALPES
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Jardin Lecoq;45.772144,3.0875006;PM10;EEA France;µg/m³;12.58;2017-05-25T12:00:00+02:00;Clermont-Ferrand;Clermont Auvergne Métropole;PUY-DE-DOME;AUVERGNE-RHONE-ALPES
AIR LORRAINE;France - AIR LORRAINE - L HOpital - Mairie;49.15839,6.7316604;NO2;EEA France;µg/m³;6.35;2017-07-18T22:00:00+02:00;L'Hôpital;CA Saint-Avold Synergie;MOSELLE;GRAND EST
AIR RHONE ALPES;France - AIR RHONE ALPES - LOVERCHY;45.895256,6.1183357;PM10;EEA France;µg/m³;9.0;2017-05-25T12:00:00+02:00;Annecy;CA du Grand Annecy;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO POITOU-CHARENTES;France - ATMO POITOU-CHARENTES - La Couronne;45.608807,0.09972198;PM10;EEA France;µg/m³;7.75;2017-05-25T12:00:00+02:00;La Couronne;CA du Grand Angoulême;CHARENTE;NOUVELLE-AQUITAINE
Pas-de-Calais;France - Pas-de-Calais - FR28028;50.535404,2.635693;O3;EEA France;µg/m³;67.5;2020-04-28T19:00:00+02:00;Béthune;CA de Béthune-Bruay, Artois-Lys Romane;PAS-DE-CALAIS;HAUTS-DE-FRANCE
Vosges;France - Vosges - FR30018;48.02461,6.585837;NO2;EEA France;µg/m³;5.0;2020-04-28T19:00:00+02:00;Remiremont;CC de la Porte des Vosges Méridionales;VOSGES;GRAND EST
Meurthe-et-Moselle;France - Meurthe-et-Moselle - FR30037;48.656937,6.1360235;O3;EEA France;µg/m³;79.9;2020-04-28T19:00:00+02:00;Villers-lès-Nancy;Métropole du Grand Nancy;MEURTHE-ET-MOSELLE;GRAND EST
Pyrénées-Atlantiques;France - Pyrénées-Atlantiques - FR31021;43.37611,-0.536944;O3;EEA France;µg/m³;83.4;2020-04-28T19:00:00+02:00;Labastide-Cézéracq;CC de Lacq-Orthez;PYRENEES-ATLANTIQUES;NOUVELLE-AQUITAINE
Haute-Savoie;France - Haute-Savoie - FR33212;46.193672,6.2148595;PM10;EEA France;µg/m³;7.4;2020-04-28T19:00:00+02:00;Gaillard;CA Annemasse-les Voirons-Agglomération;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
Haute-Vienne;France - Haute-Vienne - FR35003;45.831074,1.2568778;NO2;EEA France;µg/m³;42.3;2019-01-07T11:00:00+01:00;Limoges;CU Limoges Métropole;HAUTE-VIENNE;NOUVELLE-AQUITAINE
AIR PACA;France - AIR PACA - MANOSQUE;43.8353,5.7858334;PM2.5;EEA France;µg/m³;25.0;2017-06-16T13:00:00+02:00;Manosque;CA Durance-Lubéron-Verdon Agglomération;ALPES-DE-HAUTE-PROVENCE;PROVENCE-ALPES-COTE D'AZUR
ATMO AUVERGNE;France - ATMO AUVERGNE - MOULINS;46.561863,3.3310878;NO2;EEA France;µg/m³;29.0;2016-12-01T21:00:00+01:00;Moulins;CA Moulins Communauté;ALLIER;AUVERGNE-RHONE-ALPES
AIR NORMAND;France - AIR NORMAND - Maison Parc Brotonne;49.498302,0.758833;NO2;EEA France;µg/m³;4.1;2017-07-18T22:00:00+02:00;Notre-Dame-de-Bliquetuit;CA Caux Seine Agglo;SEINE-MARITIME;NORMANDIE
ATMO BOURGOGNE-FRANCHE-COMTE;France - ATMO BOURGOGNE-FRANCHE-COMTE - Montceau-les-Mines;46.66664,4.366666;NO2;EEA France;µg/m³;2.85;2017-05-25T12:00:00+02:00;Montceau-les-Mines;CU Le Creusot Montceau-les-Mines;SAONE-ET-LOIRE;BOURGOGNE-FRANCHE-COMTE
AIR LORRAINE;France - AIR LORRAINE - Nancy-Brabois 2;48.656937,6.1360235;SO2;EEA France;µg/m³;1.18;2017-07-18T22:00:00+02:00;Villers-lès-Nancy;Métropole du Grand Nancy;MEURTHE-ET-MOSELLE;GRAND EST
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - Place Orbigny LR;46.16164,-1.2112075;PM10;EEA France;µg/m³;22.25;2017-07-18T22:00:00+02:00;La Rochelle;CA de la Rochelle;CHARENTE-MARITIME;NOUVELLE-AQUITAINE
ATMO OCCITANIE;France - ATMO OCCITANIE - POriurbaine Nord;43.695366,3.8008168;O3;EEA France;µg/m³;116.65;2017-07-17T18:00:00+02:00;Saint-Gély-du-Fesc;CC du Grand Pic Saint-Loup;HERAULT;OCCITANIE
ATMO AUVERGNE-RHONE-ALPES;France - ATMO AUVERGNE-RHONE-ALPES - Romans-sur-IsOre;45.04247,5.044301;PM10;EEA France;µg/m³;19.2;2017-07-17T20:00:00+02:00;Romans-sur-Isère;CA Valence Romans Agglo;DROME;AUVERGNE-RHONE-ALPES
AIR RHONE ALPES;France - AIR RHONE ALPES - SAINT ETIENNE SUD;45.42009,4.3954206;O3;EEA France;µg/m³;84.1;2017-05-25T12:00:00+02:00;Saint-Étienne;Saint-Etienne Métropole;LOIRE;AUVERGNE-RHONE-ALPES
ATMO HAUTS DE FRANCE;France - ATMO HAUTS DE FRANCE - Salome Ecoles;50.532036,2.8389997;NO2;EEA France;µg/m³;11.03;2017-05-25T12:00:00+02:00;Salomé;Métropole Européenne de Lille;NORD;HAUTS-DE-FRANCE
ATMO NOUVELLE-AQUITAINE;France - ATMO NOUVELLE-AQUITAINE - TALENCE;44.80057,-0.588056;NO2;EEA France;µg/m³;4.5;2017-05-25T12:00:00+02:00;Talence;Bordeaux Métropole;GIRONDE;NOUVELLE-AQUITAINE
AIRPARIF;France - AIRPARIF - TREMBLAY-EN-FRANCE;48.955536,2.5752814;NO2;EEA France;µg/m³;13.5;2017-07-18T22:00:00+02:00;Tremblay-en-France;Métropole du Grand Paris;SEINE-SAINT-DENIS;ILE-DE-FRANCE
AIR LORRAINE;France - AIR LORRAINE - Thionville-Garche;49.39446,6.2013936;NO2;EEA France;µg/m³;5.83;2017-07-18T22:00:00+02:00;Thionville;CA Portes de France-Thionville;MOSELLE;GRAND EST
AIR PACA;France - AIR PACA - Vitrolles;43.457245,5.244302;O3;EEA France;µg/m³;110.5;2017-07-18T22:00:00+02:00;Vitrolles;;BOUCHES-DU-RHONE;PROVENCE-ALPES-COTE D'AZUR
ATMO POITOU-CHARENTES;France - ATMO POITOU-CHARENTES - place de VERDUN;46.16257,-1.1535985;NO2;EEA France;µg/m³;24.4;2017-07-18T22:00:00+02:00;La Rochelle;CA de la Rochelle;CHARENTE-MARITIME;NOUVELLE-AQUITAINE
Doubs;France - Doubs - FR82030;47.29464,6.8258576;PM10;EEA France;µg/m³;20.7;2020-04-22T12:00:00+02:00;Montandon;CC du Pays de Maîche;DOUBS;BOURGOGNE-FRANCHE-COMTE
ATMO GRAND EST;France - ATMO GRAND EST - FlOville;48.6215,6.194926;PM10;EEA France;µg/m³;37.7;2017-06-22T03:00:00+02:00;Fléville-devant-Nancy;Métropole du Grand Nancy;MEURTHE-ET-MOSELLE;GRAND EST
ATMO POITOU-CHARENTES;France - ATMO POITOU-CHARENTES - La Couronne;45.608807,0.09972198;NO2;EEA France;µg/m³;4.58;2017-05-25T12:00:00+02:00;La Couronne;CA du Grand Angoulême;CHARENTE;NOUVELLE-AQUITAINE
Pas-de-Calais;France - Pas-de-Calais - FR28010;50.449165,2.9000044;PM10;EEA France;µg/m³;17.4;2020-04-28T17:00:00+02:00;Harnes;CA de Lens - Liévin;PAS-DE-CALAIS;HAUTS-DE-FRANCE
Haute-Savoie;France - Haute-Savoie - FR33302;46.07222,5.8208313;O3;EEA France;µg/m³;69.4;2020-04-28T19:00:00+02:00;Saint-Germain-sur-Rhône;CC Usses et Rhône;HAUTE-SAVOIE;AUVERGNE-RHONE-ALPES
ATMO GRAND EST;France - ATMO GRAND EST - Nancy-Charles III;48.688198,6.1904345;PM2.5;EEA France;µg/m³;10.03;2017-05-24T15:00:00+02:00;Nancy;Métropole du Grand Nancy;MEURTHE-ET-MOSELLE;GRAND EST
AIR PAYS DE LOIRE;France - AIR PAYS DE LOIRE - PARC PAYSAGER;47.273067,-2.2230518;SO2;EEA France;µg/m³;1.08;2017-07-18T18:00:00+02:00;Saint-Nazaire;CA de la Région Nazairienne et de l'Estuaire (Carene);LOIRE-ATLANTIQUE;PAYS DE LA LOIRE
